ID,Категория,Название продукта,Калории (ккал),Белки (г),Жиры (г),Углеводы (г),Гликемический индекс (ГИ)
668,Рыба и морепродукты,Судак филе запеченный(ая),72,16.6,1.1,0.0,0
669,Рыба и морепродукты,Судак филе горячего копчения,93,19.6,1.6,0.0,0
670,Рыба и морепродукты,Судак филе холодного копчения,102,17.5,1.3,0.0,0
671,Рыба и морепродукты,Судак филе слабосоленый(ая),83,17.7,1.1,0.0,0
672,Рыба и морепродукты,Тунец консервированный в собственном соку,101,23.0,1.0,0.0,0
673,Рыба и морепродукты,Тунец консервированный в собственном соку запеченный(ая),89,23.0,0.9,0.0,0
674,Рыба и морепродукты,Тунец консервированный в собственном соку горячего копчения,126,22.3,1.3,0.0,0
675,Рыба и морепродукты,Тунец консервированный в собственном соку холодного копчения,121,21.8,0.9,0.0,0
676,Рыба и морепродукты,Тунец консервированный в собственном соку слабосоленый(ая),111,24.2,1.3,0.0,0
677,Рыба и морепродукты,Сельдь слабосоленая,160,17.0,10.0,0.0,0
678,Рыба и морепродукты,Сельдь слабосоленая запеченный(ая),189,17.0,13.3,0.0,0
679,Рыба и морепродукты,Сельдь слабосоленая горячего копчения,163,18.4,12.0,0.0,0
680,Рыба и морепродукты,Сельдь слабосоленая холодного копчения,177,18.2,12.4,0.0,0
681,Рыба и морепродукты,Сельдь слабосоленая слабосоленый(ая),133,16.8,10.1,0.0,0
682,Рыба и морепродукты,Креветки отварные,95,22.0,1.0,0.2,0
683,Рыба и морепродукты,Креветки отварные запеченный(ая),78,22.0,1.0,0.2,0
684,Рыба и морепродукты,Креветки отварные горячего копчения,78,23.5,0.9,0.2,0
685,Рыба и морепродукты,Креветки отварные холодного копчения,116,22.5,1.2,0.2,0
686,Рыба и морепродукты,Креветки отварные слабосоленый(ая),102,23.3,1.4,0.2,0
687,Рыба и морепродукты,Кальмары очищенные сырые,92,18.0,2.2,2.0,5
688,Рыба и морепродукты,Кальмары очищенные сырые запеченный(ая),110,18.5,2.3,2.0,6
689,Рыба и морепродукты,Кальмары очищенные сырые горячего копчения,80,16.4,1.9,2.3,5
690,Рыба и морепродукты,Кальмары очищенные сырые холодного копчения,89,18.8,2.5,1.7,5
691,Рыба и морепродукты,Кальмары очищенные сырые слабосоленый(ая),84,17.8,2.4,2.0,5
692,Рыба и морепродукты,Мидии отварные,77,11.5,2.0,3.3,0
693,Рыба и морепродукты,Мидии отварные запеченный(ая),67,11.2,2.0,3.2,0
694,Рыба и морепродукты,Мидии отварные горячего копчения,74,11.7,2.7,3.5,0
695,Рыба и морепродукты,Мидии отварные холодного копчения,64,10.6,2.5,3.0,0
696,Рыба и морепродукты,Мидии отварные слабосоленый(ая),89,11.9,2.9,3.8,0
697,Молочные продукты и яйца,Молоко 1.5%,44,3.0,1.5,4.7,30
698,Молочные продукты и яйца,Молоко 1.5% термостатный(ое),42,3.0,1.3,4.4,30
699,Молочные продукты и яйца,Молоко 1.5% пастеризованный(ое),56,3.1,1.6,4.9,30
700,Молочные продукты и яйца,Молоко 1.5% безлактозный(ое),55,2.9,1.6,5.2,30
701,Молочные продукты и яйца,Молоко 2.5%,52,2.9,2.5,4.7,30
702,Молочные продукты и яйца,Молоко 2.5% термостатный(ое),62,3.0,3.5,5.1,30
703,Молочные продукты и яйца,Молоко 2.5% пастеризованный(ое),59,2.9,3.1,4.6,30
704,Молочные продукты и яйца,Молоко 2.5% безлактозный(ое),51,2.8,2.3,4.2,30
705,Молочные продукты и яйца,Молоко 3.2%,59,2.9,3.2,4.7,30
706,Молочные продукты и яйца,Молоко 3.2% термостатный(ое),75,2.9,3.1,4.0,30
707,Молочные продукты и яйца,Молоко 3.2% пастеризованный(ое),49,3.1,2.8,5.2,30
708,Молочные продукты и яйца,Молоко 3.2% безлактозный(ое),71,3.1,2.6,4.4,30
709,Молочные продукты и яйца,Кефир 1%,40,3.0,1.0,4.0,25
710,Молочные продукты и яйца,Кефир 1% термостатный(ое),47,2.8,1.1,3.5,25
711,Молочные продукты и яйца,Кефир 1% пастеризованный(ое),48,3.2,1.4,3.5,25
712,Молочные продукты и яйца,Кефир 1% безлактозный(ое),40,2.9,1.3,3.6,25
713,Молочные продукты и яйца,Кефир 3.2%,56,2.8,3.2,4.1,25
714,Молочные продукты и яйца,Кефир 3.2% термостатный(ое),57,2.7,4.2,4.0,25
715,Молочные продукты и яйца,Кефир 3.2% пастеризованный(ое),59,2.7,4.4,4.0,25
716,Молочные продукты и яйца,Кефир 3.2% безлактозный(ое),68,2.7,4.7,4.9,25
717,Молочные продукты и яйца,Творог 0% обезжиренный,71,16.5,0.2,1.3,30
718,Молочные продукты и яйца,Творог 0% обезжиренный термостатный(ое),73,15.8,0.2,1.3,30
719,Молочные продукты и яйца,Творог 0% обезжиренный пастеризованный(ое),91,17.5,0.3,1.1,30
720,Молочные продукты и яйца,Творог 0% обезжиренный безлактозный(ое),65,17.0,0.3,1.3,30
721,Молочные продукты и яйца,Творог 5%,121,17.2,5.0,1.8,30
722,Молочные продукты и яйца,Творог 5% термостатный(ое),103,18.4,7.0,1.6,30
723,Молочные продукты и яйца,Творог 5% пастеризованный(ое),142,16.4,7.2,1.5,30
724,Молочные продукты и яйца,Творог 5% безлактозный(ое),123,18.7,4.8,1.8,30
725,Молочные продукты и яйца,Творог 9%,159,16.7,9.0,2.0,30
726,Молочные продукты и яйца,Творог 9% термостатный(ое),154,15.1,7.5,2.0,30
727,Молочные продукты и яйца,Творог 9% пастеризованный(ое),145,18.4,9.6,1.6,30
728,Молочные продукты и яйца,Творог 9% безлактозный(ое),201,17.8,11.3,2.2,30
729,Молочные продукты и яйца,Сметана 10%,115,3.0,10.0,2.9,25
730,Молочные продукты и яйца,Сметана 10% термостатный(ое),99,2.9,13.8,3.1,25
731,Молочные продукты и яйца,Сметана 10% пастеризованный(ое),99,3.1,11.1,2.3,25
732,Молочные продукты и яйца,Сметана 10% безлактозный(ое),96,2.9,13.8,3.0,25
733,Молочные продукты и яйца,Сметана 15%,160,2.6,15.0,3.0,25
734,Молочные продукты и яйца,Сметана 15% термостатный(ое),186,2.6,13.2,2.7,25
735,Молочные продукты и яйца,Сметана 15% пастеризованный(ое),152,2.4,16.4,3.4,25
736,Молочные продукты и яйца,Сметана 15% безлактозный(ое),164,2.4,21.5,3.1,25
737,Молочные продукты и яйца,Сметана 20%,204,2.5,20.0,3.2,25
738,Молочные продукты и яйца,Сметана 20% термостатный(ое),164,2.5,19.4,2.7,25
739,Молочные продукты и яйца,Сметана 20% пастеризованный(ое),206,2.6,19.4,3.1,25
740,Молочные продукты и яйца,Сметана 20% безлактозный(ое),230,2.3,29.6,2.6,25
741,Молочные продукты и яйца,Йогурт натуральный 2%,60,3.8,2.0,4.8,35
742,Молочные продукты и яйца,Йогурт натуральный 2% термостатный(ое),63,3.8,3.0,4.9,35
743,Молочные продукты и яйца,Йогурт натуральный 2% пастеризованный(ое),59,3.8,2.5,5.7,35
744,Молочные продукты и яйца,Йогурт натуральный 2% безлактозный(ое),55,3.4,2.7,4.5,35
745,Молочные продукты и яйца,Сыр Сливочный 50%,350,23.0,29.0,0.0,0
746,Молочные продукты и яйца,Сыр Сливочный 50% термостатный(ое),408,23.6,38.9,0.0,0
747,Молочные продукты и яйца,Сыр Сливочный 50% пастеризованный(ое),338,20.9,34.3,0.0,0
748,Молочные продукты и яйца,Сыр Сливочный 50% безлактозный(ое),310,24.3,32.6,0.0,0
749,Молочные продукты и яйца,Сыр Пармезан,392,33.0,28.0,0.0,0
750,Молочные продукты и яйца,Сыр Пармезан термостатный(ое),437,35.1,23.6,0.0,0
751,Молочные продукты и яйца,Сыр Пармезан пастеризованный(ое),403,31.6,23.3,0.0,0
752,Молочные продукты и яйца,Сыр Пармезан безлактозный(ое),321,35.9,32.5,0.0,0
753,Молочные продукты и яйца,Сыр Моцарелла,240,18.0,18.0,1.5,0
754,Молочные продукты и яйца,Сыр Моцарелла термостатный(ое),257,17.1,23.9,1.3,0
755,Молочные продукты и яйца,Сыр Моцарелла пастеризованный(ое),234,19.0,25.3,1.4,0
756,Молочные продукты и яйца,Сыр Моцарелла безлактозный(ое),206,17.5,25.6,1.6,0
757,Молочные продукты и яйца,Сыр Фета,264,14.2,21.3,4.1,0
758,Молочные продукты и яйца,Сыр Фета термостатный(ое),329,13.9,31.6,4.1,0
759,Молочные продукты и яйца,Сыр Фета пастеризованный(ое),276,15.4,24.8,4.6,0
760,Молочные продукты и яйца,Сыр Фета безлактозный(ое),307,13.0,26.0,4.6,0
761,Молочные продукты и яйца,Сливочное масло 82.5%,748,0.5,82.5,0.8,0
762,Молочные продукты и яйца,Сливочное масло 82.5% термостатный(ое),802,0.5,70.6,0.9,0
763,Молочные продукты и яйца,Сливочное масло 82.5% пастеризованный(ое),713,0.5,90.6,0.9,0
764,Молочные продукты и яйца,Сливочное масло 82.5% безлактозный(ое),729,0.5,116.2,0.8,0
765,Молочные продукты и яйца,Яйцо куриное целое (1 шт ~50г),74,6.3,5.3,0.4,0
766,Молочные продукты и яйца,Яйцо куриное целое (1 шт ~50г) термостатный(ое),96,6.0,7.9,0.5,0
767,Молочные продукты и яйца,Яйцо куриное целое (1 шт ~50г) пастеризованный(ое),61,6.5,5.6,0.4,0
768,Молочные продукты и яйца,Яйцо куриное целое (1 шт ~50г) безлактозный(ое),84,6.9,4.8,0.4,0
769,Молочные продукты и яйца,Яичный белок отварной,44,11.1,0.2,1.0,0
770,Молочные продукты и яйца,Яичный белок отварной термостатный(ое),52,10.1,0.2,1.1,0
771,Молочные продукты и яйца,Яичный белок отварной пастеризованный(ое),43,10.8,0.2,1.0,0
772,Молочные продукты и яйца,Яичный белок отварной безлактозный(ое),50,12.1,0.2,1.1,0
773,Молочные продукты и яйца,Яичный желток сырой,352,16.2,31.2,1.0,0
774,Молочные продукты и яйца,Яичный желток сырой термостатный(ое),382,16.3,33.7,1.1,0
775,Молочные продукты и яйца,Яичный желток сырой пастеризованный(ое),325,14.9,41.0,1.0,0
776,Молочные продукты и яйца,Яичный желток сырой безлактозный(ое),349,16.4,30.7,0.9,0
777,Орехи и сухофрукты,Миндаль,579,21.1,50.0,21.5,15
778,Орехи и сухофрукты,Миндаль премиум,575,21.1,50.0,21.5,15
779,Орехи и сухофрукты,Миндаль органический,607,21.1,50.0,21.5,15
780,Орехи и сухофрукты,Миндаль эко,566,21.1,50.0,21.5,15
781,Орехи и сухофрукты,Грецкий орех,654,15.2,65.2,13.7,15
782,Орехи и сухофрукты,Грецкий орех премиум,681,15.2,65.2,13.7,15
783,Орехи и сухофрукты,Грецкий орех органический,653,15.2,65.2,13.7,15
784,Орехи и сухофрукты,Грецкий орех эко,629,15.2,65.2,13.7,15
785,Орехи и сухофрукты,Фундук,628,15.0,60.8,16.7,15
786,Орехи и сухофрукты,Фундук премиум,650,15.0,60.8,16.7,15
787,Орехи и сухофрукты,Фундук органический,624,15.0,60.8,16.7,15
788,Орехи и сухофрукты,Фундук эко,653,15.0,60.8,16.7,15
789,Орехи и сухофрукты,Кешью,553,18.2,43.8,30.2,25
790,Орехи и сухофрукты,Кешью премиум,549,18.2,43.8,30.2,25
791,Орехи и сухофрукты,Кешью органический,530,18.2,43.8,30.2,25
792,Орехи и сухофрукты,Кешью эко,563,18.2,43.8,30.2,25
793,Орехи и сухофрукты,Курага,241,3.4,0.5,62.6,35
794,Орехи и сухофрукты,Курага премиум,249,3.4,0.5,62.6,35
795,Орехи и сухофрукты,Курага органический,236,3.4,0.5,62.6,35
796,Орехи и сухофрукты,Курага эко,237,3.4,0.5,62.6,35
797,Орехи и сухофрукты,Изюм,299,3.1,0.5,79.2,65
798,Орехи и сухофрукты,Изюм премиум,285,3.1,0.5,79.2,65
799,Орехи и сухофрукты,Изюм органический,300,3.1,0.5,79.2,65
800,Орехи и сухофрукты,Изюм эко,310,3.1,0.5,79.2,65
801,Орехи и сухофрукты,Финики сушеные,277,1.8,0.2,75.0,70
802,Орехи и сухофрукты,Финики сушеные премиум,286,1.8,0.2,75.0,70
803,Орехи и сухофрукты,Финики сушеные органический,282,1.8,0.2,75.0,70
804,Орехи и сухофрукты,Финики сушеные эко,288,1.8,0.2,75.0,70
805,Хлебобулочные изделия,Хлеб ржаной Дарницкий,210,6.5,1.2,42.0,50
806,Хлебобулочные изделия,Хлеб ржаной Дарницкий премиум,212,6.5,1.2,42.0,50
807,Хлебобулочные изделия,Хлеб ржаной Дарницкий органический,216,6.5,1.2,42.0,50
808,Хлебобулочные изделия,Хлеб ржаной Дарницкий эко,210,6.5,1.2,42.0,50
809,Хлебобулочные изделия,Хлеб пшеничный батон,260,7.5,2.9,50.0,70
810,Хлебобулочные изделия,Хлеб пшеничный батон премиум,250,7.5,2.9,50.0,70
811,Хлебобулочные изделия,Хлеб пшеничный батон органический,252,7.5,2.9,50.0,70
812,Хлебобулочные изделия,Хлеб пшеничный батон эко,250,7.5,2.9,50.0,70
813,Хлебобулочные изделия,Хлеб цельнозерновой,240,9.0,3.5,41.0,45
814,Хлебобулочные изделия,Хлеб цельнозерновой премиум,246,9.0,3.5,41.0,45
815,Хлебобулочные изделия,Хлеб цельнозерновой органический,228,9.0,3.5,41.0,45
816,Хлебобулочные изделия,Хлеб цельнозерновой эко,241,9.0,3.5,41.0,45
817,Хлебобулочные изделия,Хлебцы докторские,300,11.0,2.0,58.0,45
818,Хлебобулочные изделия,Хлебцы докторские премиум,296,11.0,2.0,58.0,45
819,Хлебобулочные изделия,Хлебцы докторские органический,309,11.0,2.0,58.0,45
820,Хлебобулочные изделия,Хлебцы докторские эко,301,11.0,2.0,58.0,45
821,Сладости и выпечка,Шоколад горький 75%,550,6.2,35.4,48.0,25
822,Сладости и выпечка,Шоколад горький 75% премиум,556,6.2,35.4,48.0,25
823,Сладости и выпечка,Шоколад горький 75% органический,527,6.2,35.4,48.0,25
824,Сладости и выпечка,Шоколад горький 75% эко,539,6.2,35.4,48.0,25
825,Сладости и выпечка,Шоколад молочный,535,7.6,29.7,59.4,70
826,Сладости и выпечка,Шоколад молочный премиум,561,7.6,29.7,59.4,70
827,Сладости и выпечка,Шоколад молочный органический,546,7.6,29.7,59.4,70
828,Сладости и выпечка,Шоколад молочный эко,536,7.6,29.7,59.4,70
829,Сладости и выпечка,Мед натуральный,304,0.3,0.0,82.4,60
830,Сладости и выпечка,Мед натуральный премиум,312,0.3,0.0,82.4,60
831,Сладости и выпечка,Мед натуральный органический,313,0.3,0.0,82.4,60
832,Сладости и выпечка,Мед натуральный эко,291,0.3,0.0,82.4,60
833,Сладости и выпечка,Сахар белый песок,387,0.0,0.0,100.0,100
834,Сладости и выпечка,Сахар белый песок премиум,405,0.0,0.0,100.0,100
835,Сладости и выпечка,Сахар белый песок органический,392,0.0,0.0,100.0,100
836,Сладости и выпечка,Сахар белый песок эко,385,0.0,0.0,100.0,100
837,Бобовые,Чечевица красная (сухая),314,24.0,1.5,48.0,25
838,Бобовые,Чечевица красная (сухая) премиум,319,24.0,1.5,48.0,25
839,Бобовые,Чечевица красная (сухая) органический,309,24.0,1.5,48.0,25
840,Бобовые,Чечевица красная (сухая) эко,325,24.0,1.5,48.0,25
841,Бобовые,Нут (сухой),364,19.0,6.0,61.0,30
842,Бобовые,Нут (сухой) премиум,374,19.0,6.0,61.0,30
843,Бобовые,Нут (сухой) органический,369,19.0,6.0,61.0,30
844,Бобовые,Нут (сухой) эко,352,19.0,6.0,61.0,30
845,Бобовые,Фасоль белая консервированная,90,6.0,0.5,15.0,40
846,Бобовые,Фасоль белая консервированная премиум,94,6.0,0.5,15.0,40
847,Бобовые,Фасоль белая консервированная органический,89,6.0,0.5,15.0,40
848,Бобовые,Фасоль белая консервированная эко,93,6.0,0.5,15.0,40
